squadra,totale_gol,totale_gol_subiti,media_gol_segnati,media_gol_subiti,totale_partite,vittorie,pareggi,sconfitte,% vittorie,% pareggi,% sconfitte,differenza_reti,punti,anno
Milan,74,41,1.947368421052632,1.0789473684210529,38,24,7,7,63.1578947368421,18.421052631578945,18.421052631578945,33,79,2021
Atalanta,90,47,2.3684210526315788,1.236842105263158,38,23,9,6,60.526315789473685,23.684210526315788,15.789473684210526,43,78,2021
Juventus,77,38,2.026315789473684,1.0,38,23,9,6,60.526315789473685,23.684210526315788,15.789473684210526,39,78,2021
Napoli,86,41,2.263157894736842,1.0789473684210529,38,24,5,9,63.1578947368421,13.157894736842104,23.684210526315788,45,77,2021
Lazio,61,55,1.605263157894737,1.4473684210526316,38,21,5,12,55.26315789473685,13.157894736842104,31.57894736842105,6,68,2021
Roma,68,55,1.7894736842105263,1.4473684210526316,38,18,9,11,47.368421052631575,23.684210526315788,28.947368421052637,13,63,2021
Sassuolo,64,56,1.6842105263157894,1.4736842105263157,38,17,11,10,44.73684210526316,28.947368421052637,26.31578947368421,8,62,2021
Sampdoria,52,54,1.368421052631579,1.4210526315789471,38,15,7,16,39.47368421052632,18.421052631578945,42.10526315789473,-2,52,2021
Verona,43,48,1.131578947368421,1.263157894736842,38,10,13,15,26.31578947368421,34.21052631578947,39.47368421052632,-5,43,2021
Genoa,47,58,1.236842105263158,1.5263157894736843,38,10,12,16,26.31578947368421,31.57894736842105,42.10526315789473,-11,42,2021
Bologna,51,65,1.3421052631578947,1.7105263157894737,38,10,11,17,26.31578947368421,28.947368421052637,44.73684210526316,-14,41,2021
Udinese,42,58,1.105263157894737,1.5263157894736843,38,10,10,18,26.31578947368421,26.31578947368421,47.368421052631575,-16,40,2021
Fiorentina,47,59,1.236842105263158,1.5526315789473684,38,9,13,16,23.684210526315788,34.21052631578947,42.10526315789473,-12,40,2021
Spezia,52,72,1.368421052631579,1.894736842105263,38,9,12,17,23.684210526315788,31.57894736842105,44.73684210526316,-20,39,2021
Cagliari,43,59,1.131578947368421,1.5526315789473684,38,9,10,19,23.684210526315788,26.31578947368421,50.0,-16,37,2021
Torino,50,69,1.3157894736842106,1.8157894736842104,38,7,16,15,18.421052631578945,42.10526315789473,39.47368421052632,-19,37,2021
Benevento,40,75,1.0526315789473684,1.973684210526316,38,7,12,19,18.421052631578945,31.57894736842105,50.0,-35,33,2021
Crotone,45,92,1.1842105263157894,2.421052631578948,38,6,5,27,15.789473684210526,13.157894736842104,71.05263157894737,-47,23,2021
Parma,39,83,1.0263157894736843,2.1842105263157894,38,3,11,24,7.894736842105263,28.947368421052637,63.1578947368421,-44,20,2021
Milan,69,31,1.8157894736842104,0.8157894736842105,38,26,8,4,68.42105263157895,21.052631578947366,10.526315789473683,38,86,2022
Inter,84,32,2.210526315789474,0.8421052631578947,38,25,9,4,65.78947368421053,23.684210526315788,10.526315789473683,52,84,2022
Napoli,74,31,1.947368421052632,0.8157894736842105,38,24,7,7,63.1578947368421,18.421052631578945,18.421052631578945,43,79,2022
Juventus,57,37,1.5,0.9736842105263158,38,20,10,8,52.63157894736842,26.31578947368421,21.052631578947366,20,70,2022
Lazio,77,58,2.026315789473684,1.5263157894736843,38,18,10,10,47.368421052631575,26.31578947368421,26.31578947368421,19,64,2022
Roma,59,43,1.5526315789473684,1.131578947368421,38,18,9,11,47.368421052631575,23.684210526315788,28.947368421052637,16,63,2022
Fiorentina,59,51,1.5526315789473684,1.3421052631578947,38,19,5,14,50.0,13.157894736842104,36.84210526315789,8,62,2022
Atalanta,65,48,1.7105263157894737,1.263157894736842,38,16,11,11,42.10526315789473,28.947368421052637,28.947368421052637,17,59,2022
Verona,65,59,1.7105263157894737,1.5526315789473684,38,14,11,13,36.84210526315789,28.947368421052637,34.21052631578947,6,53,2022
Torino,46,41,1.2105263157894737,1.0789473684210529,38,13,11,14,34.21052631578947,28.947368421052637,36.84210526315789,5,50,2022
Sassuolo,64,66,1.6842105263157894,1.736842105263158,38,13,11,14,34.21052631578947,28.947368421052637,36.84210526315789,-2,50,2022
Udinese,61,58,1.605263157894737,1.5263157894736843,38,11,14,13,28.947368421052637,36.84210526315789,34.21052631578947,3,47,2022
Bologna,44,55,1.1578947368421053,1.4473684210526316,38,12,10,16,31.57894736842105,26.31578947368421,42.10526315789473,-11,46,2022
Empoli,50,70,1.3157894736842106,1.8421052631578947,38,10,11,17,26.31578947368421,28.947368421052637,44.73684210526316,-20,41,2022
